Player,Team,Age,GP,W,L,Mins,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Dwight Howard,LAL,34,62,49,13,19.2,7.5,3.0,4.1,73.2,0.0,0.1,60.0,1.4,2.9,49.4,2.5,4.9,7.4,0.7,1.2,0.4,1.2,3.2,21.2,8,0,2.7
Wesley Matthews,MIL,33,62,50,12,24.7,7.5,2.6,6.5,39.7,1.6,4.5,36.5,0.8,1.0,76.2,0.3,2.2,2.6,1.5,0.7,0.6,0.1,1.5,14.4,0,0,6.9
Jaxson Hayes,NOP,19,56,26,30,17.0,7.5,2.8,4.2,66.0,0.0,0.1,25.0,1.9,3.1,63.0,1.5,2.5,4.0,0.9,0.7,0.4,0.9,2.5,17.0,3,0,-0.9
J.J. Barea,DAL,35,26,13,13,15.0,7.5,2.8,6.9,41.3,1.1,2.9,38.2,0.7,0.7,94.4,0.4,1.5,1.8,3.8,1.3,0.2,0.1,1.0,14.7,0,0,1.5
Michael Porter Jr.,DEN,21,48,33,15,14.0,7.5,2.9,5.9,49.5,0.9,2.1,42.2,0.7,0.9,76.7,1.1,3.0,4.1,0.7,0.7,0.4,0.4,1.6,15.2,5,0,0.2
Ian Mahinmi,WAS,33,38,15,23,21.3,7.4,2.7,5.5,49.5,0.1,0.7,19.2,1.8,3.0,61.9,2.1,3.7,5.7,1.3,1.2,0.8,1.2,3.0,21.0,1,0,-2.1
Tyus Jones,MEM,23,65,32,33,19.0,7.4,3.0,6.6,45.9,0.7,1.9,37.9,0.7,0.9,74.1,0.1,1.4,1.6,4.4,0.8,0.9,0.1,0.7,18.1,0,0,-0.8
Ky Bowman,GSW,22,45,9,36,22.6,7.4,3.0,7.1,41.7,0.7,2.4,30.8,0.8,0.9,82.9,0.5,2.2,2.7,2.9,1.6,1.0,0.2,2.3,17.1,0,0,-3.9
Bismack Biyombo,CHA,27,53,18,35,19.4,7.4,2.8,5.2,54.3,0.0,0.0,0.0,1.7,2.8,60.3,2.3,3.5,5.8,0.9,0.9,0.2,0.9,2.2,18.2,8,0,-2.9
Gorgui Dieng,MEM,30,58,18,40,17.5,7.4,2.7,5.9,46.1,0.9,2.4,35.9,1.1,1.4,73.5,1.5,4.3,5.8,1.2,0.9,0.8,1.0,1.9,20.6,9,0,-1.7
Grayson Allen,MEM,24,30,14,16,16.6,7.4,2.6,5.9,44.9,1.1,3.0,36.3,1.0,1.2,85.7,0.2,2.0,2.2,1.4,0.8,0.2,0.0,1.2,12.1,0,0,-2.4
Brandon Knight,DET,28,25,4,21,18.5,7.3,2.4,6.7,35.3,1.8,5.2,34.4,0.8,1.4,58.8,0.2,1.5,1.6,2.8,1.5,0.4,0.1,1.6,13.5,0,0,-2.8
Kris Dunn,CHI,26,51,19,32,24.9,7.3,3.0,6.7,44.4,0.6,2.2,25.9,0.8,1.1,74.1,0.5,3.2,3.6,3.4,1.3,2.0,0.3,3.1,22.4,0,0,-0.6
Emmanuel Mudiay,UTA,24,48,32,16,15.7,7.3,2.8,6.0,47.1,0.6,1.6,35.5,1.1,1.4,75.4,0.4,2.0,2.4,2.2,1.4,0.4,0.2,1.3,14.0,0,0,0.3
Delon Wright,DAL,28,65,39,26,21.7,7.3,2.8,5.9,47.0,0.7,1.8,38.5,1.1,1.4,78.9,1.0,3.0,4.0,3.4,1.0,1.2,0.3,1.3,20.6,1,0,0.7
Willie Cauley-Stein,DAL,26,54,16,38,20.3,7.2,3.2,5.6,57.9,0.0,0.0,0.0,0.7,1.2,60.6,1.6,4.3,5.8,1.3,0.7,0.9,1.1,2.2,21.5,3,0,-2.4
Rondae Hollis-Jefferson,TOR,25,52,36,16,19.2,7.2,2.7,5.7,47.1,0.0,0.3,11.8,1.8,2.5,73.6,2.0,2.9,4.9,1.7,0.9,0.8,0.4,2.0,18.5,2,0,1.6
Michael Carter-Williams,ORL,28,42,19,23,18.4,7.2,2.5,5.8,43.4,0.5,1.6,29.4,1.7,2.1,82.8,1.0,2.3,3.3,2.4,1.1,1.1,0.5,1.9,18.3,0,0,0.5
