Player,Team,Age,GP,W,L,Mins,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Khyri Thomas,DET,23,8,2,6,7.7,2.1,0.6,2.1,29.4,0.6,1.8,35.7,0.3,0.5,50.0,0.1,0.0,0.1,0.4,0.4,0.4,0.0,1.1,3.6,0,0,-4.5
Norvel Pelle,PHI,27,20,11,9,8.9,2.1,0.9,1.8,51.4,0.0,0.0,0.0,0.3,0.6,50.0,0.8,2.2,3.0,0.4,0.7,0.1,1.3,2.0,9.5,0,0,-3.1
Derrick Walton Jr.,DET,25,26,15,11,9.6,2.0,0.7,1.5,46.2,0.4,0.9,41.7,0.3,0.3,77.8,0.1,0.5,0.6,1.0,0.2,0.3,0.0,0.8,5.0,0,0,-0.3
Charles Brown Jr.,ATL,23,10,1,9,4.0,2.0,0.6,1.9,31.6,0.3,0.9,33.3,0.5,0.5,100.0,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.3,3.7,0,0,2.8
Gabe Vincent,MIA,23,6,4,2,6.9,2.0,0.7,3.2,21.1,0.7,2.7,25.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.2,0.0,0.3,3.9,0,0,-1.0
Louis King,DET,21,10,3,7,6.2,2.0,0.8,2.1,38.1,0.4,1.1,36.4,0.0,0.3,0.0,0.1,0.9,1.0,0.5,0.2,0.2,0.0,1.0,4.4,0,0,1.9
Malik Newman,CLE,23,1,0,1,3.7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,-3.0
Zach Norvell Jr.,GSW,22,5,2,3,8.2,2.0,0.6,2.4,25.0,0.6,1.6,37.5,0.2,0.2,100.0,0.0,1.2,1.2,0.6,0.6,0.4,0.0,0.8,4.9,0,0,-5.4
Oshae Brissett,TOR,21,19,15,4,7.1,1.9,0.7,1.9,36.1,0.2,0.8,20.0,0.4,0.5,80.0,0.5,0.9,1.4,0.4,0.4,0.2,0.1,0.9,4.6,0,0,1.8
Ignas Brazdeikis,NYK,21,9,1,8,5.9,1.9,0.7,2.4,27.3,0.1,1.0,11.1,0.4,0.6,80.0,0.2,0.3,0.6,0.4,0.2,0.0,0.1,0.3,3.3,0,0,-1.3
Yuta Watanabe,MEM,25,16,8,8,6.2,1.9,0.8,1.8,41.4,0.2,0.5,37.5,0.2,0.5,37.5,0.4,0.7,1.1,0.3,0.1,0.3,0.1,0.6,4.5,0,0,0.3
Vincent Poirier,BOS,26,21,18,3,5.4,1.9,0.8,1.6,48.5,0.0,0.1,50.0,0.3,0.3,85.7,0.5,1.1,1.6,0.3,0.3,0.1,0.3,1.1,5.2,0,0,-0.6
Justin Patton,OKC,22,5,2,3,4.8,1.8,0.8,2.0,40.0,0.2,0.8,25.0,0.0,0.0,0.0,0.2,0.8,1.0,0.4,0.4,0.0,0.0,0.8,3.2,0,0,-3.2
Michael Frazier,HOU,26,8,5,3,8.2,1.8,0.5,1.4,36.4,0.3,1.0,25.0,0.5,0.8,66.7,0.1,0.3,0.4,0.1,0.3,0.3,0.0,1.6,2.9,0,0,-3.4
Tyler Cook,CLE,22,11,3,8,3.2,1.7,0.6,0.9,70.0,0.0,0.0,0.0,0.5,0.5,83.3,0.4,0.5,0.9,0.1,0.1,0.1,0.0,0.4,3.1,0,0,-1.3
Chasson Randle,GSW,27,3,2,1,13.5,1.7,0.0,1.3,0.0,0.0,0.7,0.0,1.7,2.0,83.3,0.0,0.7,0.7,1.7,0.0,0.7,0.0,1.0,7.0,0,0,-1.3
Dean Wade,CLE,23,12,1,11,6.0,1.7,0.8,1.1,69.2,0.2,0.3,50.0,0.0,0.1,0.0,0.3,1.3,1.6,0.2,0.3,0.2,0.3,0.7,5.1,0,0,-0.8
Udonis Haslem,MIA,39,3,3,0,6.9,1.7,0.3,2.0,16.7,0.0,0.7,0.0,1.0,1.3,75.0,0.0,2.7,2.7,0.3,0.0,0.0,0.0,1.0,5.4,0,0,-4.7
BJ Johnson,ORL,24,8,4,4,5.8,1.6,0.6,2.3,27.8,0.1,0.8,16.7,0.3,0.3,100.0,0.1,0.6,0.8,0.3,0.4,0.3,0.0,0.0,3.3,0,0,-2.9
Terance Mann,LAC,23,35,22,13,7.7,1.6,0.6,1.5,40.7,0.1,0.3,25.0,0.3,0.3,75.0,0.1,0.8,0.9,1.1,0.4,0.2,0.1,1.0,5.1,0,0,0.2
Donta Hall,DET,22,4,1,3,12.0,1.5,0.3,1.0,25.0,0.0,0.0,0.0,1.0,1.5,66.7,1.5,2.3,3.8,0.5,0.5,0.3,0.3,2.3,7.8,0,0,-6.8
Josh Magette,ORL,30,8,3,5,4.7,1.5,0.6,1.9,33.3,0.1,0.5,25.0,0.1,0.3,50.0,0.1,0.6,0.8,0.6,0.6,0.4,0.1,0.5,4.2,0,0,0.1
Marial Shayok,PHI,24,2,1,1,5.2,1.5,0.5,2.5,20.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.5,0.0,0.0,0.0,3.6,0,0,-5.0
Jared Dudley,LAL,34,40,29,11,7.8,1.5,0.5,1.3,40.0,0.4,0.9,47.1,0.1,0.1,100.0,0.1,1.0,1.1,0.5,0.2,0.3,0.1,0.9,4.4,0,0,0.2
Justin Robinson,WAS,22,9,2,7,5.4,1.4,0.6,1.3,41.7,0.3,0.6,60.0,0.0,0.0,0.0,0.1,0.4,0.6,0.8,0.3,0.0,0.1,0.2,3.3,0,0,3.4
Jonah Bolden,PHX,24,7,6,1,6.7,1.4,0.6,1.6,36.4,0.0,0.6,0.0,0.3,0.6,50.0,0.4,0.9,1.3,0.0,0.3,0.4,0.3,1.4,4.8,0,0,0.1
KZ Okpala,MIA,21,5,2,3,5.2,1.4,0.6,1.0,60.0,0.0,0.2,0.0,0.2,0.4,50.0,0.2,0.8,1.0,0.2,0.2,0.4,0.2,0.4,4.5,0,0,-3.0
Alize Johnson,IND,24,13,8,5,4.1,1.4,0.5,1.2,46.7,0.0,0.0,0.0,0.3,0.5,66.7,0.5,0.8,1.4,0.2,0.2,0.0,0.0,0.5,3.0,0,0,0.7
Rayjon Tucker,UTA,22,14,10,4,5.6,1.4,0.6,1.4,42.1,0.0,0.4,0.0,0.2,0.4,60.0,0.1,0.8,0.9,0.1,0.2,0.1,0.0,0.5,2.7,0,0,-0.5
Tariq Owens,PHX,24,3,0,3,5.1,1.3,0.3,1.7,20.0,0.0,0.7,0.0,0.7,0.7,100.0,0.7,0.3,1.0,0.0,0.0,0.3,0.0,0.3,3.5,0,0,-5.3
Zylan Cheatham,NOP,24,3,2,1,10.2,1.3,0.7,1.7,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.7,2.0,0.7,1.0,0.0,0.3,1.7,4.7,0,0,-10.0
Ed Davis,UTA,30,25,15,10,10.7,1.3,0.6,1.4,41.2,0.0,0.0,0.0,0.2,0.4,45.5,1.2,2.6,3.8,0.3,0.5,0.4,0.4,2.2,8.1,0,0,-3.5
Tyson Chandler,HOU,37,26,15,11,8.4,1.3,0.5,0.7,77.8,0.0,0.0,0.0,0.2,0.5,46.2,1.0,1.6,2.5,0.2,0.3,0.2,0.3,1.2,6.0,0,0,1.2
Moses Brown,POR,20,9,4,5,3.6,1.2,0.4,1.1,40.0,0.0,0.0,0.0,0.3,0.9,37.5,0.3,1.2,1.6,0.1,0.3,0.1,0.1,0.8,3.6,0,0,-3.7
Vlatko Cancar,DEN,23,14,7,7,3.2,1.2,0.4,1.1,40.0,0.1,0.4,16.7,0.3,0.3,100.0,0.4,0.4,0.7,0.2,0.2,0.1,0.1,0.5,2.6,0,0,-0.6
Jordan Bone,DET,22,10,3,7,5.3,1.2,0.5,2.0,25.0,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.2,0.1,0.0,0.6,3.0,0,0,0.0
Melvin Frazier Jr.,ORL,23,15,4,11,3.4,1.2,0.4,1.1,35.3,0.3,0.5,57.1,0.1,0.3,50.0,0.1,0.2,0.3,0.1,0.2,0.3,0.1,0.5,2.6,0,0,0.1
Juwan Morgan,UTA,23,16,10,6,4.6,1.2,0.6,1.1,52.9,0.1,0.3,20.0,0.0,0.0,0.0,0.3,0.9,1.2,0.1,0.2,0.0,0.1,0.4,2.8,0,0,1.2
DaQuan Jeffries,SAC,22,6,1,5,3.2,1.2,0.5,1.2,42.9,0.2,0.7,25.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.5,2.1,0,0,0.2
Stanley Johnson,TOR,23,20,15,5,4.8,1.2,0.4,1.6,25.8,0.1,0.7,15.4,0.3,0.3,83.3,0.2,1.0,1.1,0.4,0.4,0.2,0.1,0.5,3.6,0,0,-0.6
Zhaire Smith,PHI,20,7,3,4,4.6,1.1,0.4,1.6,27.3,0.0,0.4,0.0,0.3,0.6,50.0,0.0,0.3,0.3,0.3,0.3,0.4,0.0,0.6,2.9,0,0,-1.4
Jarred Vanderbilt,MIN,21,11,6,5,4.2,1.1,0.5,0.7,62.5,0.0,0.1,0.0,0.2,0.2,100.0,0.3,0.5,0.8,0.2,0.6,0.3,0.1,0.5,2.8,0,0,-2.5
Devon Hall,OKC,24,5,3,2,3.9,1.0,0.2,1.0,20.0,0.0,0.4,0.0,0.6,0.8,75.0,0.0,0.2,0.2,0.6,0.2,0.0,0.0,0.2,1.9,0,0,4.0
Dewan Hernandez,TOR,23,4,4,0,2.8,1.0,0.3,1.3,20.0,0.0,0.3,0.0,0.5,0.5,100.0,0.5,1.3,1.8,0.0,0.3,0.3,0.0,1.5,3.6,0,0,0.3
Jarrod Uthoff,MEM,26,4,3,1,3.4,1.0,0.3,1.8,14.3,0.0,1.0,0.0,0.5,0.5,100.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.3,2.1,0,0,2.3
Josh Gray,NOP,26,2,1,1,11.4,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,2.5,0.0,0.0,0.5,1.2,0,0,-3.5
Justin Anderson,BKN,26,3,2,1,5.6,1.0,0.3,2.0,16.7,0.0,1.0,0.0,0.3,0.7,50.0,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.7,2.8,0,0,-2.7
Kyle Guy,SAC,22,2,1,1,2.0,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,-1.5
Malcolm Miller,TOR,27,25,21,4,5.0,0.9,0.3,1.0,33.3,0.2,0.8,31.6,0.0,0.2,16.7,0.0,0.5,0.6,0.3,0.1,0.2,0.1,0.5,2.7,0,0,2.1
Amile Jefferson,ORL,26,18,5,13,4.1,0.8,0.3,0.8,35.7,0.0,0.0,0.0,0.3,0.8,35.7,0.6,0.7,1.3,0.2,0.2,0.1,0.2,0.4,3.2,0,0,1.0
Antonius Cleveland,DAL,26,6,4,2,3.7,0.8,0.3,1.0,33.3,0.0,0.2,0.0,0.2,0.3,50.0,0.0,0.5,0.5,0.0,0.2,0.2,0.2,0.3,2.3,0,0,-1.8
Brian Bowen II,IND,21,5,4,1,5.8,0.8,0.4,1.8,22.2,0.0,0.4,0.0,0.0,0.0,0.0,0.2,1.2,1.4,0.0,0.2,0.0,0.2,0.4,2.9,0,0,2.6
Daryl Macon,MIA,24,4,4,0,3.5,0.8,0.3,0.8,33.3,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.3,0.6,0,0,0.0
Jared Harper,PHX,22,3,1,2,2.6,0.7,0.3,1.3,25.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0,-3.7
Jeremiah Martin,BKN,23,3,3,0,5.3,0.7,0.3,1.7,20.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.3,0.3,0.0,4.5,0,0,0.7
Joe Chealey,CHA,24,4,1,3,8.4,0.5,0.0,1.8,0.0,0.0,1.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.3,0.5,1.0,0.0,0.5,3.4,0,0,-4.5
Matt Mooney,CLE,23,4,0,4,4.7,0.5,0.3,1.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.0,0.5,0.3,0.3,4.0,0,0,1.8
Nigel Williams-Goss,UTA,25,9,5,4,3.1,0.4,0.1,0.8,14.3,0.0,0.2,0.0,0.2,0.2,100.0,0.2,0.3,0.6,0.6,0.2,0.1,0.1,0.2,2.4,0,0,0.8
Henry Ellenson,BKN,23,5,2,3,3.0,0.4,0.2,1.4,14.3,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,2.1,0,0,2.4
Kevin Hervey,OKC,23,7,3,4,2.8,0.3,0.1,1.6,9.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.1,0.8,0,0,-0.9
Paul Watson,TOR,25,5,3,2,5.2,0.2,0.0,1.6,0.0,0.0,0.8,0.0,0.2,0.4,50.0,0.0,0.8,0.8,1.0,0.0,0.2,0.2,0.2,3.9,0,0,2.2
Isaiah Roby,OKC,22,3,2,1,3.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.3,0.5,0,0,-1.3
J.P. Macura,CLE,24,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0
Jarrell Brantley,UTA,23,5,2,3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.4,0.0,0.4,0.4,2.3,0,0,0.0
Josh Reaves,DAL,22,2,1,1,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.5
Justin Wright-Foreman,UTA,22,1,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0
Kostas Antetokounmpo,LAL,22,3,3,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.9,0,0,-0.7
Luka Samanic,SAS,20,1,0,1,12.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,6.9,0,0,6.0
Marques Bolden,CLE,22,1,0,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,5.4,0,0,4.0
Miye Oni,UTA,22,5,4,1,2.1,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.3,0,0,-3.4
Quinndary Weatherspoon,SAS,23,3,0,3,5.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.9,0,0,1.3
Stanton Kidd,UTA,28,4,3,1,3.8,0.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.5,0.0,0.0,0.8,0.8,0,0,-0.3
Talen Horton-Tucker,LAL,19,2,1,1,2.7,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,3.0,0,0,-3.5
Vic Law,ORL,24,5,1,4,1.9,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0,0,-0.4
William Howard,HOU,26,2,1,1,6.6,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.5,0,0,-8.0
